REGION,LOCATION_NAME,LATITUDE,LONGITUDE,WIND SPEED,WIND DIRECTION,POW
Andaman and Nicobar Islands,Arong,9.17,92.72,19.554761904761907,165.42857142857142,3556.5826742708964
Andaman and Nicobar Islands,Enounga,8.02,93.53000000000002,17.866666666666667,52.333333333333336,3600.099004895464
Andaman and Nicobar Islands,Geinyale,10.57,92.53000000000002,17.400000000000002,54.0,3600.099004895464
Andaman and Nicobar Islands,Laful,7.169999999999999,93.87,19.8,63.0,3597.4609012767737
Andaman and Nicobar Islands,Moshoit,8.17,93.52,25.066666666666666,40.333333333333336,3281.4006482010072
Andhra Pradesh,Adilabad,19.67,78.53,5.777536231884057,175.02173913043478,473.9606525212937
Andhra Pradesh,Anantapur,14.68,77.6,13.673188405797102,143.57971014492753,3549.0806167031965
Andhra Pradesh,Chittoor,13.2,79.12,6.6,213.2608695652174,751.3682785605183
Andhra Pradesh,East Godavari,16.93,82.22,7.915744680851064,144.05957446808512,1337.6287733709025
Andhra Pradesh,Guntur,16.3,80.45,6.811594202898551,153.07246376811594,801.0027609354194
Andhra Pradesh,Jagtial,18.8,78.93,6.393478260869565,221.66666666666666,667.6179900849525
Andhra Pradesh,Jangaon,17.6,78.88,8.98623188405797,181.81884057971016,1901.3714147106275
Andhra Pradesh,Kadapa,14.47,78.82,7.9369565217391305,162.97826086956522,1329.1918385732931
Andhra Pradesh,Karimnagar,18.43,79.15,7.501449275362319,226.18115942028984,1112.0262621024751
Andhra Pradesh,Khammam,17.25,80.15,7.9369565217391305,185.80434782608697,1330.7051720548438
Andhra Pradesh,Krishna,16.17,81.13,11.231884057971014,139.05797101449275,2941.9436082388434
Andhra Pradesh,Kurnool,15.83,78.05,11.52246376811594,146.18840579710144,3099.0230335436827
Andhra Pradesh,Mancherial,18.87,79.43,6.894160583941606,189.25547445255475,871.8836322472677
Andhra Pradesh,Medak,18.03,78.27,9.128260869565217,174.33333333333334,1948.2273374378076
Andhra Pradesh,Medchal,17.63,78.48,10.144927536231885,148.4927536231884,2437.34834744731
Andhra Pradesh,Nalgonda,17.05,79.27,8.639855072463767,183.47826086956522,1654.5833897745827
Andhra Pradesh,Narayanpet,16.73,77.5,11.43768115942029,141.84057971014494,3086.919137727527
Andhra Pradesh,Nellore,14.43,79.97,9.356521739130436,144.7608695652174,1990.3277240235411
Andhra Pradesh,Nirmal,19.1,78.35,6.583333333333333,153.47826086956522,759.5902553263758
Andhra Pradesh,Nizamabad,18.67,78.12,7.418115942028986,161.33333333333334,1090.4813212663023
Andhra Pradesh,Peddapalli,18.62,79.37,6.130434782608695,191.94927536231884,606.6324062674521
Andhra Pradesh,Siddipet,18.1,78.85,9.206521739130435,183.14492753623188,1957.2903898058398
Andhra Pradesh,Srikakulam,18.3,83.9,8.792028985507246,206.28985507246378,1829.5099207424619
Andhra Pradesh,Suryapet,17.15,79.62,8.366666666666665,181.16666666666666,1594.2627910217552
Andhra Pradesh,Upper Tirupati,13.68,79.35,5.7898550724637685,167.31884057971016,474.0480811405021
Andhra Pradesh,Vikarabad,17.33,77.9,10.42536231884058,143.8985507246377,2574.5812870947425
Andhra Pradesh,Visakhapatnam,17.7,83.3,8.973188405797101,166.79710144927537,1876.5816751978853
Andhra Pradesh,Vizianagaram,18.12,83.42,5.28768115942029,268.8695652173913,329.7350269239414
Andhra Pradesh,Wanaparthy,16.37,78.07,9.371739130434783,131.43478260869566,2106.49704329529
Andhra Pradesh,Warangal,18.0,79.58,9.104347826086958,232.7173913043478,2047.0360208789145
Andhra Pradesh,West Godavari,16.7,81.1,7.51376811594203,137.34782608695653,1136.4329134094744
Andhra Pradesh,Yanam,16.73,82.22,7.928985507246377,144.85507246376812,1334.7057216311764
Arunachal Pradesh,Tawang,27.58,91.87,7.178260869565218,60.094202898550726,980.9108474349522
Arunachal Pradesh,Tirap,27.17,95.8,4.792028985507246,123.8695652173913,236.3807908156685
Assam,Barpeta,26.32,91.0,5.0202898550724635,125.17391304347827,303.44011192744875
Assam,Bongaigaon,26.47,90.57,5.2181159420289855,106.31884057971014,446.7479005820809
Assam,Darrang,26.63,92.8,5.426086956521739,90.27536231884058,502.6703357450108
Assam,Dhalai,24.6,92.83,5.003623188405797,82.3623188405797,381.6803090901914
Assam,Dhemaji,27.48,94.58,5.346376811594203,60.18115942028985,343.2521811527303
Assam,Dhubri,26.03,89.97,8.352898550724637,85.26811594202898,1573.682143342894
Assam,Dibrugarh,27.48,94.9,5.33840579710145,64.18840579710145,338.2283959003886
Assam,Dimapur,25.9,93.73,3.796376811594203,140.91304347826087,67.04924508016038
Assam,Goalpara,26.17,90.62,5.179710144927536,107.01449275362319,438.1647532384588
Assam,Golaghat,26.52,93.97,4.3362318840579706,144.5,157.92825287851963
Assam,Hailakandi,24.68,92.57,5.010144927536231,78.79710144927536,367.9755910218141
Assam,Hojai,26.0,92.87,4.5028985507246375,129.95652173913044,193.01302919123108
Assam,Jorhat,26.75,94.22,4.415217391304347,150.7391304347826,171.37757279017075
Assam,Karimganj,24.87,92.35,4.721739130434782,94.42753623188406,329.22241240888775
Assam,Kokrajhar,26.4,90.27,5.22608695652174,105.78260869565217,450.812177263659
Assam,Majuli,26.95,94.17,4.265942028985507,125.42028985507247,150.06363955979475
Assam,Nalbari,26.42,91.43,4.447101449275363,92.98550724637681,243.5436017700589
Assam,North Gauhati,26.2,91.72,4.497163120567376,89.22695035460993,239.02458242844085
Assam,North Guwahati,26.2,91.72,4.325,87.5,237.6869914852132
